t;a1;a2;a3;a4
0.000;10.000000;0.000000;10.000000;0.000000
0.001;10.211084;0.092150;10.118934;0.067374
0.002;10.586789;0.314403;10.272386;0.224879
0.003;10.667399;0.532720;10.134680;0.364797
0.004;10.356252;0.602325;9.753927;0.379465
0.005;10.061998;0.443670;9.618328;0.228846
0.006;10.215877;0.087806;10.128071;-0.023411
0.007;10.699324;-0.332545;11.031869;-0.227324
0.008;10.883279;-0.644191;11.527470;-0.213634
0.009;10.333673;-0.719152;11.052826;0.118491
0.010;9.443051;-0.543495;9.986546;0.735029
0.011;9.204655;-0.233546;9.438200;1.457521
0.012;10.202298;0.013231;10.189068;2.022068
0.013;11.806307;0.014663;11.791643;2.187292
0.014;12.528847;-0.294931;12.823778;1.846703
0.015;11.399665;-0.807945;12.207610;1.094311
0.016;9.101746;-1.264384;10.366130;0.208451
0.017;7.644625;-1.351087;8.995712;-0.447889
0.018;8.666810;-0.843740;9.510550;-0.574988
0.019;11.851815;0.267490;11.584325;-0.072705
0.020;15.004616;1.727444;13.277171;0.895030
0.021;15.865078;3.072946;12.792132;1.942068
0.022;14.056915;3.786639;10.270276;2.600062
0.023;11.334174;3.494625;7.839550;2.505970
0.024;9.837132;2.131145;7.705987;1.562172
0.025;9.999653;0.000000;9.999653;0.000000
0.026;10.174892;-2.301319;12.476211;-1.687291
0.027;8.442577;-4.075895;12.518472;-2.924218
0.028;4.885761;-4.772165;9.657926;-3.279562
0.029;2.005780;-4.186848;6.192628;-2.649958
0.030;2.616742;-2.545019;5.161761;-1.322585
0.031;7.040937;-0.421010;7.461947;0.116510
0.032;12.320158;1.474603;10.845555;1.000987
0.033;14.455250;2.562348;11.892903;0.848842
0.034;11.848904;2.611299;9.237606;-0.431176
0.035;6.826160;1.818654;5.007506;-2.478031
0.036;3.703798;0.716101;2.987697;-4.594728
0.037;5.024236;-0.063323;5.087559;-6.005543
0.038;9.348518;-0.065918;9.414436;-6.158629
0.039;12.658830;0.769710;11.889120;-4.955319
0.040;12.097422;2.059885;10.037537;-2.810919
0.041;8.550132;3.114231;5.435901;-0.514528
0.042;5.621986;3.218767;2.403218;1.065888
0.043;5.967192;1.955077;4.012115;1.323111
0.044;8.529479;-0.574576;9.104055;0.162183
0.045;9.487084;-3.716085;13.203169;-1.939830
0.046;6.175134;-6.454090;12.629224;-4.097767
0.047;0.263087;-7.764872;8.027959;-5.350619
0.048;-3.071405;-7.003952;3.932546;-5.037736
0.049;0.431183;-4.179607;4.610789;-3.072279
0.050;9.998611;0.000000;9.998611;0.000000
0.051;19.924311;4.336246;15.588065;3.188127
0.052;24.066355;7.538708;16.527647;5.424991
0.053;20.870832;8.670547;12.200285;5.979767
0.054;14.428551;7.475418;6.953133;4.753201
0.055;10.610463;4.461127;6.149336;2.335702
0.056;11.824968;0.705102;11.119866;-0.202742
0.057;15.212519;-2.547667;17.760186;-1.717543
0.058;15.880699;-4.342793;20.223492;-1.437130
0.059;12.027556;-4.355714;16.383270;0.720748
0.060;6.973484;-2.980930;9.954414;4.092106
0.061;6.024620;-1.136332;7.160952;7.499718
0.062;11.071417;0.140594;10.930823;9.693955
0.063;18.172354;0.144197;18.028156;9.835596
0.064;20.737499;-1.182831;21.920330;7.833350
0.065;15.640893;-3.200528;18.841421;4.400105
0.066;6.601744;-4.818913;11.420657;0.797868
0.067;1.431007;-4.951517;6.382524;-1.637948
0.068;5.323970;-2.998709;8.322680;-2.015583
0.069;16.156945;0.834920;15.322025;-0.245000
0.070;26.110966;5.527170;20.583795;2.906800
0.071;28.262807;9.552376;18.710431;6.092769
0.072;22.244951;11.418459;10.826491;7.895988
0.073;13.922033;10.230254;3.691779;7.380499
0.074;9.551750;6.063742;3.488008;4.469572
0.075;9.996875;0.000000;9.996875;0.000000
0.076;10.451855;-6.207683;16.659538;-4.576678
0.077;5.881724;-10.721391;16.603115;-7.738534
0.078;-3.144157;-12.249316;9.105159;-8.477664
0.079;-10.062178;-10.487108;0.424930;-6.698748
0.080;-8.114841;-6.204640;-1.910201;-3.272803
0.081;2.916221;-0.944556;3.860778;0.282499
0.082;15.515434;3.554641;11.960793;2.380255
0.083;20.339873;5.993128;14.346745;1.981179
0.084;14.184978;5.961380;8.223599;-0.988529
0.085;2.826240;4.038041;-1.211801;-5.584626
0.086;-3.975966;1.499610;-5.475576;-10.185773
0.087;-0.927815;-0.241392;-0.686423;-13.104182
0.088;8.457687;-0.245865;8.703552;-13.235034
0.089;15.463432;1.539617;13.923816;-10.493992
0.090;14.269103;4.237488;10.031615;-5.869165
0.091;7.011788;6.387268;0.624519;-1.059775
0.092;1.186702;6.556799;-5.370097;2.166701
0.093;2.009386;3.977500;-1.968114;2.655593
0.094;7.148776;-1.052818;8.201594;0.321538
0.095;9.025096;-7.172865;16.197961;-3.800400
0.096;2.642120;-12.386102;15.028222;-7.936282
0.097;-8.537766;-14.767896;6.230130;-10.247929
0.098;-14.617292;-13.191181;-1.426112;-9.545095
0.099;-7.832826;-7.793737;-0.039088;-5.760519
0.100;9.994446;0.000000;9.994446;0.000000
0.101;28.123183;7.925770;20.197414;5.859387
0.102;35.445874;13.641427;21.804447;9.875590
0.103;29.483415;15.528672;13.954743;10.784864
0.104;17.856123;13.239858;4.616265;8.495650
0.105;11.043016;7.787411;3.255604;4.138250
0.106;13.128949;1.143509;11.985439;-0.356153
0.107;18.958558;-4.498339;23.456896;-2.992216
0.108;20.057881;-7.520572;27.578453;-2.483532
0.109;13.472124;-7.436771;20.908895;1.235770
0.110;4.973961;-4.997217;9.971178;6.962577
0.111;3.480210;-1.810911;5.291121;12.665478
0.112;11.962846;0.362387;11.600459;16.252219
0.113;23.684716;0.367603;23.317112;16.372904
0.114;27.766746;-1.844997;29.611743;12.949749
0.115;19.282339;-5.177904;24.460243;7.225008
0.116;4.520233;-7.827636;12.347869;1.301481
0.117;-3.816737;-8.041700;4.224963;-2.654640
0.118;2.464931;-4.894226;7.359157;-3.246161
0.119;19.723842;1.232238;18.491604;-0.392158
0.120;35.409930;8.664570;26.745359;4.624855
0.121;38.672572;14.972472;23.700100;9.637033
0.122;29.140579;17.832484;11.308095;12.417588
0.123;16.122243;15.903367;0.218876;11.541791
0.124;9.329938;9.379196;-0.049259;6.951251
0.125;9.991323;0.000000;9.991323;0.000000
0.126;10.660127;-9.500064;20.160191;-7.042356
0.127;3.699200;-16.315294;20.014494;-11.846339
0.128;-9.907044;-18.527642;8.620598;-12.912367
0.129;-20.188900;-15.750538;-4.438361;-10.152484
0.130;-17.091938;-9.220553;-7.871385;-4.936181
0.131;-0.500067;-1.305780;0.805713;0.424056
0.132;18.237032;5.381490;12.855542;3.556355
0.133;25.291715;8.931983;16.359732;2.946596
0.134;16.117424;8.789888;7.327536;-1.463659
0.135;-0.605700;5.865237;-6.470938;-8.232578
0.136;-10.540159;2.074844;-12.615003;-14.950757
0.137;-6.073543;-0.500550;-5.572993;-19.153219
0.138;7.551279;-0.506394;8.057673;-19.264326
0.139;17.681141;2.103539;15.577602;-15.212468
0.140;16.006872;6.028469;9.978403;-8.474182
0.141;5.699344;9.147888;-3.448544;-1.524154
0.142;-2.505308;9.412950;-11.918258;3.104125
0.143;-1.259809;5.751579;-7.011388;3.790147
0.144;6.034250;-1.376847;7.411097;0.457204
0.145;8.658920;-10.012974;18.671894;-5.384169
0.146;-0.319190;-17.327663;17.008473;-11.203289
0.147;-15.924131;-20.630398;4.706268;-14.415521
0.148;-24.303432;-18.382489;-5.920943;-13.380315
0.149;-14.764134;-10.829174;-3.934960;-8.047574
0.150;9.987508;0.000000;9.987508;0.000000
0.151;34.990724;10.939578;24.051145;8.131368
0.152;44.979335;18.758520;26.220815;13.660423
0.153;36.697905;21.264140;15.433766;14.870595
0.154;20.718529;18.035010;2.683519;11.677376
0.155;11.377577;10.514476;0.863101;5.670512
